"Product ID";"Order ID";"Order Date";"Shipped Date";"Customer ID";"Quantity";"Unit Price";"Discount";"Transaction";"Company Name";"Status ID"
80;30;1/15/2023 0:00:00;1/22/2023 0:00:00;27;"30";$3.50;0.00;"Sale";"Company AA";2
34;30;1/15/2023 0:00:00;1/22/2023 0:00:00;27;"100";$14.00;0.00;"Sale";"Company AA";2
7;31;1/20/2023 0:00:00;1/22/2023 0:00:00;4;"10";$30.00;0.00;"Sale";"Company D";2
51;31;1/20/2023 0:00:00;1/22/2023 0:00:00;4;"10";$53.00;0.00;"Sale";"Company D";2
80;31;1/20/2023 0:00:00;1/22/2023 0:00:00;4;"10";$3.50;0.00;"Sale";"Company D";2
1;32;1/22/2023 0:00:00;1/22/2023 0:00:00;12;"15";$18.00;0.00;"Sale";"Company L";2
43;32;1/22/2023 0:00:00;1/22/2023 0:00:00;12;"20";$46.00;0.00;"Sale";"Company L";2
19;33;1/30/2023 0:00:00;1/31/2023 0:00:00;8;"30";$9.20;0.00;"Sale";"Company H";2
19;34;2/6/2023 0:00:00;2/7/2023 0:00:00;4;"20";$9.20;0.00;"Sale";"Company D";2
48;35;2/10/2023 0:00:00;2/12/2023 0:00:00;29;"10";$12.75;0.00;"Sale";"Company CC";2
41;36;2/23/2023 0:00:00;2/25/2023 0:00:00;3;"200";$9.65;0.00;"Sale";"Company C";2
8;37;3/6/2023 0:00:00;3/9/2023 0:00:00;6;"17";$40.00;0.00;"Sale";"Company F";2
43;38;3/10/2023 0:00:00;3/11/2023 0:00:00;28;"300";$46.00;0.00;"Sale";"Company BB";2
48;39;3/22/2023 0:00:00;3/24/2023 0:00:00;8;"100";$12.75;0.00;"Sale";"Company H";2
80;43;3/24/2023 0:00:00;;11;"20";$3.50;0.00;"Sale";"Company K";1
81;44;3/24/2023 0:00:00;;1;"25";$2.99;0.00;"Sale";"Company A";1
43;44;3/24/2023 0:00:00;;1;"25";$46.00;0.00;"Sale";"Company A";1
