20100101|2010-01-01|6|Friday|Viernes|Vendredi|1|1|1|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100102|2010-01-02|7|Saturday|Sábado|Samedi|2|2|1|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100103|2010-01-03|1|Sunday|Domingo|Dimanche|3|3|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100104|2010-01-04|2|Monday|Lunes|Lundi|4|4|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100105|2010-01-05|3|Tuesday|Martes|Mardi|5|5|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100106|2010-01-06|4|Wednesday|Miércoles|Mercredi|6|6|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100107|2010-01-07|5|Thursday|Jueves|Jeudi|7|7|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100108|2010-01-08|6|Friday|Viernes|Vendredi|8|8|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100109|2010-01-09|7|Saturday|Sábado|Samedi|9|9|2|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100110|2010-01-10|1|Sunday|Domingo|Dimanche|10|10|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100111|2010-01-11|2|Monday|Lunes|Lundi|11|11|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100112|2010-01-12|3|Tuesday|Martes|Mardi|12|12|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100113|2010-01-13|4|Wednesday|Miércoles|Mercredi|13|13|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100114|2010-01-14|5|Thursday|Jueves|Jeudi|14|14|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100115|2010-01-15|6|Friday|Viernes|Vendredi|15|15|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100116|2010-01-16|7|Saturday|Sábado|Samedi|16|16|3|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100117|2010-01-17|1|Sunday|Domingo|Dimanche|17|17|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100118|2010-01-18|2|Monday|Lunes|Lundi|18|18|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100119|2010-01-19|3|Tuesday|Martes|Mardi|19|19|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100120|2010-01-20|4|Wednesday|Miércoles|Mercredi|20|20|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100121|2010-01-21|5|Thursday|Jueves|Jeudi|21|21|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100122|2010-01-22|6|Friday|Viernes|Vendredi|22|22|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100123|2010-01-23|7|Saturday|Sábado|Samedi|23|23|4|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100124|2010-01-24|1|Sunday|Domingo|Dimanche|24|24|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100125|2010-01-25|2|Monday|Lunes|Lundi|25|25|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100126|2010-01-26|3|Tuesday|Martes|Mardi|26|26|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100127|2010-01-27|4|Wednesday|Miércoles|Mercredi|27|27|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100128|2010-01-28|5|Thursday|Jueves|Jeudi|28|28|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100129|2010-01-29|6|Friday|Viernes|Vendredi|29|29|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100130|2010-01-30|7|Saturday|Sábado|Samedi|30|30|5|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100131|2010-01-31|1|Sunday|Domingo|Dimanche|31|31|6|January|Enero|Janvier|1|1|2010|1|3|2010|2
20100201|2010-02-01|2|Monday|Lunes|Lundi|1|32|6|February|Febrero|Février|2|1|2010|1|3|2010|2
20100202|2010-02-02|3|Tuesday|Martes|Mardi|2|33|6|February|Febrero|Février|2|1|2010|1|3|2010|2
20100203|2010-02-03|4|Wednesday|Miércoles|Mercredi|3|34|6|February|Febrero|Février|2|1|2010|1|3|2010|2
20100204|2010-02-04|5|Thursday|Jueves|Jeudi|4|35|6|February|Febrero|Février|2|1|2010|1|3|2010|2
20100205|2010-02-05|6|Friday|Viernes|Vendredi|5|36|6|February|Febrero|Février|2|1|2010|1|3|2010|2
20100206|2010-02-06|7|Saturday|Sábado|Samedi|6|37|6|February|Febrero|Février|2|1|2010|1|3|2010|2
20100207|2010-02-07|1|Sunday|Domingo|Dimanche|7|38|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100208|2010-02-08|2|Monday|Lunes|Lundi|8|39|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100209|2010-02-09|3|Tuesday|Martes|Mardi|9|40|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100210|2010-02-10|4|Wednesday|Miércoles|Mercredi|10|41|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100211|2010-02-11|5|Thursday|Jueves|Jeudi|11|42|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100212|2010-02-12|6|Friday|Viernes|Vendredi|12|43|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100213|2010-02-13|7|Saturday|Sábado|Samedi|13|44|7|February|Febrero|Février|2|1|2010|1|3|2010|2
20100214|2010-02-14|1|Sunday|Domingo|Dimanche|14|45|8|February|Febrero|Février|2|1|2010|1|3|2010|2
20100215|2010-02-15|2|Monday|Lunes|Lundi|15|46|8|February|Febrero|Février|2|1|2010|1|3|2010|2
20100216|2010-02-16|3|Tuesday|Martes|Mardi|16|47|8|February|Febrero|Février|2|1|2010|1|3|2010|2
20100217|2010-02-17|4|Wednesday|Miércoles|Mercredi|17|48|8|February|Febrero|Février|2|1|2010|1|3|2010|2
